rank,type,tier,url,city,state,shop_count
1,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-raleigh.html,Raleigh,NC,113
2,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-tn-memphis.html,Memphis,TN,91
3,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-winston-salem.html,Winston-Salem,NC,75
4,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-tn-knoxville.html,Knoxville,TN,74
5,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-greensboro.html,Greensboro,NC,72
6,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-wilmington.html,Wilmington,NC,71
7,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-tn-nashville.html,Nashville,TN,61
8,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-asheville.html,Asheville,NC,48
9,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-durham.html,Durham,NC,43
10,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-tn-jackson.html,Jackson,TN,38
11,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-statesville.html,Statesville,NC,32
12,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-tn-cookeville.html,Cookeville,TN,18
13,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-garner.html,Garner,NC,15
14,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-candler.html,Candler,NC,8
15,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-high-point.html,High Point,NC,8
16,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-kernersville.html,Kernersville,NC,8
17,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-tn-lenoir-city.html,Lenoir City,TN,7
18,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-colfax.html,Colfax,NC,7
19,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-hendersonville.html,Hendersonville,NC,7
20,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-lexington.html,Lexington,NC,7
21,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-tn-antioch.html,Antioch,TN,5
22,city_hub,tier1_tn_nc,https://www.i40breakdown.com/c-nc-burlington.html,Burlington,NC,5
