rank,type,tier,url,city,state,shop_count
1,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-monarch-power-supply-oklahoma-city.html,Oklahoma City,OK,
2,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-mts-mobile-truck-repair-services-ok-oklahoma-city.html,Oklahoma City,OK,
3,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-bubba-s-mobile-truck-trailer-repair-inc-oklahoma-city.html,Oklahoma City,OK,
4,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-pronoss-oklahoma-city.html,Oklahoma City,OK,
5,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-mcclain-s-rv-superstore-oklahoma-city.html,Oklahoma City,OK,
6,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-mcclain-s-rv-superstore-service-and-parts-oklahoma-city.html,Oklahoma City,OK,
7,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-mobile-rv-repair-of-okc-oklahoma-city.html,Oklahoma City,OK,
8,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-camping-world-oklahoma-city-east-oklahoma-city.html,Oklahoma City,OK,
9,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-r-d-truck-and-trailer-repair-inc-oklahoma-city.html,Oklahoma City,OK,
10,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-warren-cat-power-systems-oklahoma-city.html,Oklahoma City,OK,
11,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-rush-truck-centers-oklahoma-city-service-oklahoma-city.html,Oklahoma City,OK,
12,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-truck-medic-oklahoma-city.html,Oklahoma City,OK,
13,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-bulldog-diesel-mobile-truck-repair-oklahoma-city.html,Oklahoma City,OK,
14,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-big-rig-product-oklahoma-city.html,Oklahoma City,OK,
15,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-ta-truck-service-oklahoma-city.html,Oklahoma City,OK,
16,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-ta-truck-service-oklahoma-city-2.html,Oklahoma City,OK,
17,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-ta-truck-service-oklahoma-city-3.html,Oklahoma City,OK,
18,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-anytime-anywhere-truck-repair-oklahoma-city.html,Oklahoma City,OK,
19,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-a1-rv-repair-oklahoma-city.html,Oklahoma City,OK,
20,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-a1-rv-repair-oklahoma-city-2.html,Oklahoma City,OK,
