state, total_shops, missing_404, live_200, pct_missing
   NC,         653,         289,      364,    44%
   TN,         414,         213,      201,    51%
   AR,         270,         160,      110,    59%
   OK,         274,         141,      133,    51%
   NM,         180,          92,       88,    51%
   AZ,         118,          52,       66,    44%
   TX,         101,          39,       62,    39%
   CA,          28,          11,       17,    39%
   MS,          11,           6,        5,    55%
   DE,           3,           2,        1,    67%
   NJ,           6,           2,        4,    33%
   SC,           3,           2,        1,    67%
   VA,           1,           1,        0,   100%
   PA,           2,           1,        1,    50%
   IL,           1,           1,        0,   100%
   NY,           3,           0,        3,     0%
   GA,           1,           0,        1,     0%
   OR,           1,           0,        1,     0%
   NH,           1,           0,        1,     0%
TOTAL,        2071,        1012,     1059,    49%
