state,city,shop_name,filename,url
AR,North Little Rock,3 Buddy’s Diesel Repair,shop-ar-3-buddy-s-diesel-repair-north-little-rock.html,https://www.i40breakdown.com/shop-ar-3-buddy-s-diesel-repair-north-little-rock.html
AR,Russellville,39th Street Truck Repair,shop-ar-39th-street-truck-repair-russellville.html,https://www.i40breakdown.com/shop-ar-39th-street-truck-repair-russellville.html
AR,Russellville,A & M Mobile Mechanic - Road Service,shop-ar-a-m-mobile-mechanic-road-service-russellville.html,https://www.i40breakdown.com/shop-ar-a-m-mobile-mechanic-road-service-russellville.html
AR,Little Rock,Advance Fleet Management,shop-ar-advance-fleet-management-little-rock.html,https://www.i40breakdown.com/shop-ar-advance-fleet-management-little-rock.html
AR,Van Buren,AEM 24HR MOBILE TRUCK AND TRAILER REPAIR,shop-ar-aem-24hr-mobile-truck-and-trailer-repair-van-buren.html,https://www.i40breakdown.com/shop-ar-aem-24hr-mobile-truck-and-trailer-repair-van-buren.html
AR,Little Rock,All Right Truck Service,shop-ar-all-right-truck-service-little-rock.html,https://www.i40breakdown.com/shop-ar-all-right-truck-service-little-rock.html
AR,Russellville,Americold Logistics Russellville 324,shop-ar-americold-logistics-russellville-324-russellville.html,https://www.i40breakdown.com/shop-ar-americold-logistics-russellville-324-russellville.html
AR,Russellville,Americold Logistics Russellville Elmira,shop-ar-americold-logistics-russellville-elmira-russellville.html,https://www.i40breakdown.com/shop-ar-americold-logistics-russellville-elmira-russellville.html
AR,Little Rock,Arkansas Diesel Engines,shop-ar-arkansas-diesel-engines-little-rock.html,https://www.i40breakdown.com/shop-ar-arkansas-diesel-engines-little-rock.html
AR,Little Rock,Arkansas Fuel Injection,shop-ar-arkansas-fuel-injection-little-rock.html,https://www.i40breakdown.com/shop-ar-arkansas-fuel-injection-little-rock.html
AR,Fort Smith,Arkansas Fuel Injection Of Fort Smith Inc,shop-ar-arkansas-fuel-injection-of-fort-smith-inc-fort-smith.html,https://www.i40breakdown.com/shop-ar-arkansas-fuel-injection-of-fort-smith-inc-fort-smith.html
AR,Sheridan,Arkansas Mobile RV Service,shop-ar-arkansas-mobile-rv-service-sheridan.html,https://www.i40breakdown.com/shop-ar-arkansas-mobile-rv-service-sheridan.html
AR,Russellville,Arkansas Tire & Auto Service,shop-ar-arkansas-tire-auto-service-russellville.html,https://www.i40breakdown.com/shop-ar-arkansas-tire-auto-service-russellville.html
AR,Van Buren,Arkansas Valley Diesel & Auto Repair,shop-ar-arkansas-valley-diesel-auto-repair-van-buren.html,https://www.i40breakdown.com/shop-ar-arkansas-valley-diesel-auto-repair-van-buren.html
AR,Russellville,B & K Auto & Trailer Sales,shop-ar-b-k-auto-trailer-sales-russellville.html,https://www.i40breakdown.com/shop-ar-b-k-auto-trailer-sales-russellville.html
AR,North Little Rock,Baker's Truck Repair,shop-ar-baker-s-truck-repair-north-little-rock.html,https://www.i40breakdown.com/shop-ar-baker-s-truck-repair-north-little-rock.html
AR,Russellville,"Battle Cross Towing & Recovery, A ""Playing In Traffic Inc"" Company",shop-ar-battle-cross-towing-recovery-a-playing-in-traffic-inc-company-russellvil.html,https://www.i40breakdown.com/shop-ar-battle-cross-towing-recovery-a-playing-in-traffic-inc-company-russellvil.html
AR,North Little Rock,Big Rock Truck and Trailer Repair,shop-ar-big-rock-truck-and-trailer-repair-north-little-rock.html,https://www.i40breakdown.com/shop-ar-big-rock-truck-and-trailer-repair-north-little-rock.html
AR,Alma,Black Dog Diesel Performance LLC,shop-ar-black-dog-diesel-performance-llc-alma.html,https://www.i40breakdown.com/shop-ar-black-dog-diesel-performance-llc-alma.html
AR,Little Rock,Bob & Orin's Carb Rebuilders,shop-ar-bob-orin-s-carb-rebuilders-little-rock.html,https://www.i40breakdown.com/shop-ar-bob-orin-s-carb-rebuilders-little-rock.html
AR,Pottsville,Bruckner's Truck & Equipment,shop-ar-bruckner-s-truck-equipment-pottsville.html,https://www.i40breakdown.com/shop-ar-bruckner-s-truck-equipment-pottsville.html
AR,Russellville,Caballero's Mobile mechanic & 24/7 Road service,shop-ar-caballero-s-mobile-mechanic-24-7-road-service-russellville.html,https://www.i40breakdown.com/shop-ar-caballero-s-mobile-mechanic-24-7-road-service-russellville.html
AR,North Little Rock,Camping World RV Service - North Little Rock,shop-ar-camping-world-rv-service-north-little-rock-north-little-rock.html,https://www.i40breakdown.com/shop-ar-camping-world-rv-service-north-little-rock-north-little-rock.html
AR,Plumerville,Casey’s Diesel and Auto Repairs,shop-ar-casey-s-diesel-and-auto-repairs-plumerville.html,https://www.i40breakdown.com/shop-ar-casey-s-diesel-and-auto-repairs-plumerville.html
AR,North Little Rock,Central Arkansas Truck & Trailer,shop-ar-central-arkansas-truck-trailer-north-little-rock.html,https://www.i40breakdown.com/shop-ar-central-arkansas-truck-trailer-north-little-rock.html
AR,Conway,Chalos Automotive Mechanics And Repair (Hablamos español),shop-ar-chalos-automotive-mechanics-and-repair-hablamos-espa-ol-conway.html,https://www.i40breakdown.com/shop-ar-chalos-automotive-mechanics-and-repair-hablamos-espa-ol-conway.html
AR,Little Rock,Christian Brothers Automotive West Little Rock,shop-ar-christian-brothers-automotive-west-little-rock-little-rock.html,https://www.i40breakdown.com/shop-ar-christian-brothers-automotive-west-little-rock-little-rock.html
AR,Little Rock,City of Little Rock Fleet Services,shop-ar-city-of-little-rock-fleet-services-little-rock.html,https://www.i40breakdown.com/shop-ar-city-of-little-rock-fleet-services-little-rock.html
AR,West Memphis,Cliff Carter's Wrecker Service,shop-ar-cliff-carter-s-wrecker-service-west-memphis.html,https://www.i40breakdown.com/shop-ar-cliff-carter-s-wrecker-service-west-memphis.html
AR,North Little Rock,CMT Truck and Trailer Repair LLC,shop-ar-cmt-truck-and-trailer-repair-llc-north-little-rock.html,https://www.i40breakdown.com/shop-ar-cmt-truck-and-trailer-repair-llc-north-little-rock.html
AR,Russellville,Cogswell Towing Wrecker and Road Service,shop-ar-cogswell-towing-wrecker-and-road-service-russellville.html,https://www.i40breakdown.com/shop-ar-cogswell-towing-wrecker-and-road-service-russellville.html
AR,Marion,Commercial Truck and Trailer Repair,shop-ar-commercial-truck-and-trailer-repair-marion.html,https://www.i40breakdown.com/shop-ar-commercial-truck-and-trailer-repair-marion.html
AR,Conway,Conway Axle & Trailer Parts LLC,shop-ar-conway-axle-trailer-parts-llc-conway.html,https://www.i40breakdown.com/shop-ar-conway-axle-trailer-parts-llc-conway.html
AR,Conway,Conway Semi Truck & Trailer Repair,shop-ar-conway-semi-truck-trailer-repair-conway.html,https://www.i40breakdown.com/shop-ar-conway-semi-truck-trailer-repair-conway.html
AR,Fort Smith,David Whitt Truck Repair,shop-ar-david-whitt-truck-repair-fort-smith.html,https://www.i40breakdown.com/shop-ar-david-whitt-truck-repair-fort-smith.html
AR,North Little Rock,Don's Mobile RV Service,shop-ar-don-s-mobile-rv-service-north-little-rock.html,https://www.i40breakdown.com/shop-ar-don-s-mobile-rv-service-north-little-rock.html
AR,Dardanelle,DPF Alternatives Little Rock,shop-ar-dpf-alternatives-little-rock-dardanelle.html,https://www.i40breakdown.com/shop-ar-dpf-alternatives-little-rock-dardanelle.html
AR,Fort Smith,Dr. Underhood Automotive Specialist,shop-ar-dr-underhood-automotive-specialist-fort-smith.html,https://www.i40breakdown.com/shop-ar-dr-underhood-automotive-specialist-fort-smith.html
AR,Little Rock,Dru's Mobile Auto Repair,shop-ar-dru-s-mobile-auto-repair-little-rock.html,https://www.i40breakdown.com/shop-ar-dru-s-mobile-auto-repair-little-rock.html
AR,Russellville,Electric Motor Center Inc.,shop-ar-electric-motor-center-inc-russellville.html,https://www.i40breakdown.com/shop-ar-electric-motor-center-inc-russellville.html
AR,Russellville,Express Tire & Auto Repair,shop-ar-express-tire-auto-repair-russellville.html,https://www.i40breakdown.com/shop-ar-express-tire-auto-repair-russellville.html
AR,Little Rock,First Call Mobile Mechanic Automotive Services,shop-ar-first-call-mobile-mechanic-automotive-services-little-rock.html,https://www.i40breakdown.com/shop-ar-first-call-mobile-mechanic-automotive-services-little-rock.html
AR,Tucker,First Choice Mobile RV Repair,shop-ar-first-choice-mobile-rv-repair-tucker.html,https://www.i40breakdown.com/shop-ar-first-choice-mobile-rv-repair-tucker.html
AR,Little Rock,Fleet Management Services,shop-ar-fleet-management-services-little-rock.html,https://www.i40breakdown.com/shop-ar-fleet-management-services-little-rock.html
AR,North Little Rock,Fleet Masters truck & trailer repair,shop-ar-fleet-masters-truck-trailer-repair-north-little-rock.html,https://www.i40breakdown.com/shop-ar-fleet-masters-truck-trailer-repair-north-little-rock.html
AR,Russellville,Fleet Tire Point S Tire and Auto Service,shop-ar-fleet-tire-point-s-tire-and-auto-service-russellville.html,https://www.i40breakdown.com/shop-ar-fleet-tire-point-s-tire-and-auto-service-russellville.html
AR,Little Rock,FleetPride Service Center,shop-ar-fleetpride-service-center-little-rock.html,https://www.i40breakdown.com/shop-ar-fleetpride-service-center-little-rock.html
AR,North Little Rock,FlexArmor Arkansas,shop-ar-flexarmor-arkansas-north-little-rock.html,https://www.i40breakdown.com/shop-ar-flexarmor-arkansas-north-little-rock.html
AR,Sherwood,Forest River RV | Camping World,shop-ar-forest-river-rv-camping-world-sherwood.html,https://www.i40breakdown.com/shop-ar-forest-river-rv-camping-world-sherwood.html
AR,Russellville,G Ray Baker Truck & Garage Inc,shop-ar-g-ray-baker-truck-garage-inc-russellville.html,https://www.i40breakdown.com/shop-ar-g-ray-baker-truck-garage-inc-russellville.html
AR,Conway,G&W Diesel Services/EVS Mid-South,shop-ar-g-w-diesel-services-evs-mid-south-conway.html,https://www.i40breakdown.com/shop-ar-g-w-diesel-services-evs-mid-south-conway.html
AR,West Memphis,Garretteed Diesel Repair,shop-ar-garretteed-diesel-repair-west-memphis.html,https://www.i40breakdown.com/shop-ar-garretteed-diesel-repair-west-memphis.html
AR,Atkins,Glenn's Auto and Truck Repair,shop-ar-glenn-s-auto-and-truck-repair-atkins.html,https://www.i40breakdown.com/shop-ar-glenn-s-auto-and-truck-repair-atkins.html
AR,Russellville,Glenn's Mobile Road Service and Towing,shop-ar-glenn-s-mobile-road-service-and-towing-russellville.html,https://www.i40breakdown.com/shop-ar-glenn-s-mobile-road-service-and-towing-russellville.html
AR,Russellville,Grace Pro Trailer Sales,shop-ar-grace-pro-trailer-sales-russellville.html,https://www.i40breakdown.com/shop-ar-grace-pro-trailer-sales-russellville.html
AR,North Little Rock,Grace Trailer Service Inc,shop-ar-grace-trailer-service-inc-north-little-rock.html,https://www.i40breakdown.com/shop-ar-grace-trailer-service-inc-north-little-rock.html
AR,West Memphis,Grade A Mobile Truck & Trailer Repair LLC,shop-ar-grade-a-mobile-truck-trailer-repair-llc-west-memphis.html,https://www.i40breakdown.com/shop-ar-grade-a-mobile-truck-trailer-repair-llc-west-memphis.html
AR,Fort Smith,Greg's Too Auto Repair & Towing,shop-ar-greg-s-too-auto-repair-towing-fort-smith.html,https://www.i40breakdown.com/shop-ar-greg-s-too-auto-repair-towing-fort-smith.html
AR,North Little Rock,GT Auto Repairs Gas and Diesel,shop-ar-gt-auto-repairs-gas-and-diesel-north-little-rock.html,https://www.i40breakdown.com/shop-ar-gt-auto-repairs-gas-and-diesel-north-little-rock.html
AR,North Little Rock,Hale Trailer Brake & Wheel - Little Rock,shop-ar-hale-trailer-brake-wheel-little-rock-north-little-rock.html,https://www.i40breakdown.com/shop-ar-hale-trailer-brake-wheel-little-rock-north-little-rock.html
AR,Russellville,Harness Garage And Tire,shop-ar-harness-garage-and-tire-russellville.html,https://www.i40breakdown.com/shop-ar-harness-garage-and-tire-russellville.html
AR,Van Buren,High Caliber Diesel Service,shop-ar-high-caliber-diesel-service-van-buren.html,https://www.i40breakdown.com/shop-ar-high-caliber-diesel-service-van-buren.html
AR,Van Buren,Highway 64 Truck and Trailer Repair,shop-ar-highway-64-truck-and-trailer-repair-van-buren.html,https://www.i40breakdown.com/shop-ar-highway-64-truck-and-trailer-repair-van-buren.html
AR,North Little Rock,"Hilliard Enterprises, Inc.",shop-ar-hilliard-enterprises-inc-north-little-rock.html,https://www.i40breakdown.com/shop-ar-hilliard-enterprises-inc-north-little-rock.html
AR,Russellville,Hodges Heavy Duty Truck Parts,shop-ar-hodges-heavy-duty-truck-parts-russellville.html,https://www.i40breakdown.com/shop-ar-hodges-heavy-duty-truck-parts-russellville.html
AR,Russellville,Hodges Towing and Recovery,shop-ar-hodges-towing-and-recovery-russellville.html,https://www.i40breakdown.com/shop-ar-hodges-towing-and-recovery-russellville.html
AR,London,"Hogan Truck Leasing & Rental: Russellville, AR",shop-ar-hogan-truck-leasing-rental-russellville-ar-london.html,https://www.i40breakdown.com/shop-ar-hogan-truck-leasing-rental-russellville-ar-london.html
AR,Danville,Hotshotz Automotive & Diesel Repair,shop-ar-hotshotz-automotive-diesel-repair-danville.html,https://www.i40breakdown.com/shop-ar-hotshotz-automotive-diesel-repair-danville.html
AR,Little Rock,"HQ RV Mobile Services, LLC",shop-ar-hq-rv-mobile-services-llc-little-rock.html,https://www.i40breakdown.com/shop-ar-hq-rv-mobile-services-llc-little-rock.html
AR,Fort Smith,Hunt Engine Rebuilders Inc,shop-ar-hunt-engine-rebuilders-inc-fort-smith.html,https://www.i40breakdown.com/shop-ar-hunt-engine-rebuilders-inc-fort-smith.html
AR,Crawfordsville,I-55 Truck and Trailer Repair,shop-ar-i-55-truck-and-trailer-repair-crawfordsville.html,https://www.i40breakdown.com/shop-ar-i-55-truck-and-trailer-repair-crawfordsville.html
AR,Marion,Immediate response truck and trailer repairs,shop-ar-immediate-response-truck-and-trailer-repairs-marion.html,https://www.i40breakdown.com/shop-ar-immediate-response-truck-and-trailer-repairs-marion.html
AR,Marion,In and Out Diesel Repair LLC,shop-ar-in-and-out-diesel-repair-llc-marion.html,https://www.i40breakdown.com/shop-ar-in-and-out-diesel-repair-llc-marion.html
AR,North Little Rock,Jesse truck and trailer,shop-ar-jesse-truck-and-trailer-north-little-rock.html,https://www.i40breakdown.com/shop-ar-jesse-truck-and-trailer-north-little-rock.html
AR,Fort Smith,Jet’s Mobile Truck and Equipment Repair Services LLC,shop-ar-jet-s-mobile-truck-and-equipment-repair-services-llc-fort-smith.html,https://www.i40breakdown.com/shop-ar-jet-s-mobile-truck-and-equipment-repair-services-llc-fort-smith.html
AR,North Little Rock,JHook Towing & Recovery,shop-ar-jhook-towing-recovery-north-little-rock.html,https://www.i40breakdown.com/shop-ar-jhook-towing-recovery-north-little-rock.html
AR,North Little Rock,Joes Fleet Service,shop-ar-joes-fleet-service-north-little-rock.html,https://www.i40breakdown.com/shop-ar-joes-fleet-service-north-little-rock.html
AR,Dover,Jones Automotive & Diesel Performance,shop-ar-jones-automotive-diesel-performance-dover.html,https://www.i40breakdown.com/shop-ar-jones-automotive-diesel-performance-dover.html
