filename,name,city,state,address,phone,website,lat,lng,rating,reviews,services
shop-ar-3-buddy-s-diesel-repair-north-little-rock.html,3 Buddy’s Diesel Repair,North Little Rock,AR,"2403 AR-161, North Little Rock, AR 72117",+15013532710,,34.775903,-92.20293099999999,5.0,4,
shop-ar-39th-street-truck-repair-russellville.html,39th Street Truck Repair,Russellville,AR,"308 E 39th St, Russellville, AR 72802",,,35.2375106,-93.13688619999999,2.1,7,
shop-ar-a-m-mobile-mechanic-road-service-russellville.html,A & M Mobile Mechanic - Road Service,Russellville,AR,"1900 S Glenwood Ave, Russellville, AR 72802",+14792643605,,35.260307499999996,-93.14063759999999,5.0,8,Roadside|24/7
shop-ar-advance-fleet-management-little-rock.html,Advance Fleet Management,Little Rock,AR,"7820 Zeuber Rd, Little Rock, AR 72206",+15013883340,,34.699858899999995,-92.1951648,5.0,1,
shop-ar-aem-24hr-mobile-truck-and-trailer-repair-van-buren.html,AEM 24HR MOBILE TRUCK AND TRAILER REPAIR,Van Buren,AR,"735 Redwood Dr, Van Buren, AR 72956",+14792595619,http://aem24mobiletruckandtrailer.com/,35.4439419,-94.2482472,5.0,2,Roadside|24/7|Truck specialist|Trailer
shop-ar-all-right-truck-service-little-rock.html,All Right Truck Service,Little Rock,AR,"19323 N Springlake Rd, Little Rock, AR 72206",+15014754490,,34.573761499999996,-92.32627029999999,5.0,2,24/7
shop-ar-americold-logistics-russellville-324-russellville.html,Americold Logistics Russellville 324,Russellville,AR,"500 State Rte 324, Russellville, AR 72802",+18888084877,https://www.americold.com/,35.2717216,-93.09346839999999,4.2,274,Reefer
shop-ar-americold-logistics-russellville-elmira-russellville.html,Americold Logistics Russellville Elmira,Russellville,AR,"300 S Elmira Ave, Russellville, AR 72802",+14799685322,https://www.americold.com/,35.274135799999996,-93.10486379999999,3.3,377,Reefer
shop-ar-arkansas-diesel-engines-little-rock.html,Arkansas Diesel Engines,Little Rock,AR,"7710 Jamison Rd, Little Rock, AR 72209",+15018124300,http://www.ardieselengines.com/,34.6773588,-92.31362449999999,4.2,5,Truck specialist|Engine|Cooling
shop-ar-arkansas-fuel-injection-little-rock.html,Arkansas Fuel Injection,Little Rock,AR,"7101 I-30, Little Rock, AR 72209",+15015653712,http://arkansasfuelinjectioninc.com/,34.680547499999996,-92.3132696,4.5,45,Truck specialist|Engine|Electrical
shop-ar-arkansas-fuel-injection-of-fort-smith-inc-fort-smith.html,Arkansas Fuel Injection Of Fort Smith Inc,Fort Smith,AR,"6300 S 29th St, Fort Smith, AR 72908",+14796467709,https://www.arkansasfuelinjection.com/,35.322737,-94.403853,4.8,30,Roadside|24/7|Truck specialist|Engine
