name,phone,website,full address,city,state,zip,latitude,longitude,google rating,review count,category,hours,is_24_7,is_mobile,dupe_count
Bellemont Truck Repair and Towing,+1 928-214-0700,http://www.bellemonttruckrepair.com/,"13235 Old Rte 66, Bellemont, AZ 86015",Bellemont,Arizona,86015,35.2384151,-111.832134,3.9,135,Truck repair shop,Friday: ['8AM-6PM']; Monday: ['8AM-6PM']; Saturday: ['8AM-5PM']; Sunday: ['8AM-5PM']; Thursday: ['8AM-6PM']; Tuesday: ['8AM-6PM']; Wednesday: ['8AM-6PM'],no,no,1
RV Country ( Flagstaff ),+1 928-526-6771,https://rvcountry.com/contact/locations/flagstaff/,"11420 W Rte 66, Bellemont, AZ 86015",Bellemont,Arizona,86015,35.2291997,-111.8101151,4.4,377,Trailer repair shop,Friday: ['8:30AM-6PM']; Monday: ['8:30AM-6PM']; Saturday: ['8:30AM-6PM']; Sunday: ['10AM-5PM']; Thursday: ['8:30AM-6PM']; Tuesday: ['8:30AM-6PM']; Wednesday: ['8:30AM-6PM'],no,no,1
Vanguard Truck Centers,+1 928-310-8584,https://vanguardtrucks.com/location/arizona/flagstaff/,"13591 Old Rte 66, Bellemont, AZ 86015",Bellemont,Arizona,86015,35.2390403,-111.8340072,4,160,Truck dealer,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
Carroll's Diesel Repair,+1 928-706-6639,,"573 W Industrial Dr building 2, Camp Verde, AZ 86322",Camp Verde,Arizona,86322,34.5774993,-111.8796691,3.9,7,Diesel engine repair service,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,no,1
Elite Diesel and Fleet Copper Canyon,+1 928-777-9777,https://elitedieselandfleet.com/,"3557 Old Hwy 279, Camp Verde, AZ 86322",Camp Verde,Arizona,86322,34.6149363,-111.9150573,3.8,10,Diesel engine repair service,Friday: ['Open 24 hours']; Monday: ['8AM-11:30PM']; Saturday: ['12AM-12PM']; Sunday: ['Closed']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,no,1
Premier Diesel Equipment and Turbo,+1 928-567-7040,https://www.facebook.com/profile.php%3Fid%3D61553772477345,"724 W Industrial Dr #6, Camp Verde, AZ 86322",Camp Verde,Arizona,86322,34.5807787,-111.8810819,4.1,67,Diesel engine repair service,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,no,1
Accu-Brake Flagstaff 4X4,+1 928-527-0270,http://www.flagstaff4x4.com/,"2920 E Rte 66, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2103458,-111.6063747,3.7,113,Truck repair shop,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
American Spring & Alignment,+1 928-527-3354,https://www.americanspringinc.net/alignmentinflagstaffaz86004.htm,"3683 N Eagle Mountain Dr, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2163112,-111.5897696,4.8,258,Truck repair shop,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
American Trailer Company,+1 928-440-4742,http://www.americantraileraz.com/,"11850 US-89, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.3107344,-111.5429238,4.9,178,Trailer dealer,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['8AM-2PM']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
Ascot Automotive & Transmission Specialists,+1 928-220-9711,https://ascotautorepair.com/,"2608 N West St, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2138866,-111.6210343,4.7,560,Auto repair shop,Friday: ['7:30AM-5:30PM']; Monday: ['7:30AM-5:30PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['7:30AM-5:30PM']; Tuesday: ['7:30AM-5:30PM']; Wednesday: ['7:30AM-5:30PM'],no,no,1
Auto Tech Pros,+1 928-526-8324,,"7975 US-89, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2370453,-111.5726953,4.6,36,Auto repair shop,Friday: ['8AM-12PM']; Monday: ['8AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
Buddy's Welding & RV Inc,+1 928-526-4257,,"7007 US-89, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2402251,-111.5712071,4.5,90,RV repair shop,Friday: ['8AM-5:30PM']; Monday: ['8AM-5:30PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5:30PM']; Tuesday: ['8AM-5:30PM']; Wednesday: ['8AM-5:30PM'],no,no,1
Coconino Motors Napa AutoCare Center Auto & Light Truck Repair,+1 928-774-4408,http://coconinomotors.com/,"1141 W Kaibab Ln, Flagstaff, AZ 86001",Flagstaff,Arizona,86001,35.1898204,-111.6678615,4.4,109,Auto repair shop,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
Complete Car Care,+1 928-526-1026,https://completecarcareflagstaff.com/,"2710 E Rte 66, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2089183,-111.609488,4.3,67,Truck repair shop,Friday: ['8AM-5:30PM']; Monday: ['8AM-5:30PM']; Saturday: ['8AM-5:30PM']; Sunday: ['8AM-5:30PM']; Thursday: ['8AM-5:30PM']; Tuesday: ['8AM-5:30PM']; Wednesday: ['8AM-5:30PM'],no,no,1
Country Club Towing & Recovery,+1 928-527-8697,http://cctowinginc.com/,"5610 Railhead Ave, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2261323,-111.5661913,4.4,91,Towing service,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,no,1
Crazy Country Boys Services,+1 928-607-9753,,"5280 E Gibson Ave, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2292752,-111.5720355,4.6,62,Truck repair shop,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['8AM-12PM']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
Dave's Mobile Mechanic,+1 928-607-1184,,"5201 E Commerce Ave, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.228821,-111.5685075,4.4,23,Mechanic,Friday: ['7AM-9PM']; Monday: ['7AM-9PM']; Saturday: ['9AM-6PM']; Sunday: ['Closed']; Thursday: ['7AM-9PM']; Tuesday: ['7AM-9PM']; Wednesday: ['7AM-9PM'],no,yes,1
FLAGSTAFF TOWING AND RECOVERY,+1 928-226-8000,http://flagstafftowingandrecovery.com/,"524 E Brannen Ave, Flagstaff, AZ 86001",Flagstaff,Arizona,86001,35.1934961,-111.642887,3.1,156,Towing service,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,no,1
Flag Tool Equipment Repair,+1 928-773-9185,http://flagtoolequipmentrepair.com/,"7011 US-89, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2406172,-111.5703799,4.6,46,Small engine repair service,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
